"id","uid","bm_unit_id","fuel_type","lead_party_name"
283,"b5a6e3d7-fe5c-4c2f-9f0c-bc2af3a9c6af","T_BRBEO-1","WIND","Burbo Extension Limited"
5649,"6e96f835-270d-4255-aa38-b2b81fdd0a16","T_BROCW-1","WIND","Smartestenergy Limited"
277,"5a65d521-89d0-4300-9458-35e97f320a23","T_CGTHW-1","WIND","Corriegarth Wind Energy LTD"
276,"2310714d-ea74-4ba1-846e-346ae280aa4e","T_CLDCW-1","WIND","Clyde Windfarm (Scotland) Ltd"
275,"3feb11f3-5131-4b74-8988-3eac47ae9bba","T_CLDNW-1","WIND","Clyde Windfarm (Scotland) Ltd"
274,"e6234054-9b89-4f74-bace-ad71cdb8b7c1","T_CLDSW-1","WIND","Clyde Windfarm (Scotland) Ltd"
268,"82748f06-ff12-4bd1-9b9b-49488990ff23","T_COUWW-1","WIND","Cour Wind farm (Scotland) Ltd"
266,"28c21016-aaa5-4218-adc4-b5fc1195667d","T_CRDEW-1","WIND","Crossdykes WF Limited"
265,"b1250af6-ae63-4d6e-95e3-fb6130199ddf","T_CRDEW-2","WIND","Crossdykes WF Limited"
264,"2fd84018-726e-49d2-8fdb-dc420b22e66c","T_CREAW-1","WIND","Creag Riabhach Wind Farm Ltd"
263,"45b60cb3-1a07-43d1-9906-ab1068e92f64","T_CRGHW-1","WIND","Statkraft Markets Gmbh"
262,"8228a63d-e898-4b0c-b46d-29da2697b8e6","T_CRMLW-1","WIND","EDF Energy Customers Ltd"
256,"08ce4675-c597-4e5b-8b7a-14645a71d935","T_CRYRW-2","WIND","Eneco Energy Trade"
255,"4d9e84f8-8154-4a27-979c-625a0a3eab0a","T_CRYRW-3","WIND","Eneco Energy Trade"
5444,"1469e31f-82dc-4c4e-9a10-7a9baa918a3b","T_CUMHW-1","WIND","EDF Energy Customers Ltd"
254,"b1283fa1-0471-43e4-ab0b-626ffd7a9306","T_DALQW-1","WIND","Statkraft Markets Gmbh"
246,"f4cf9960-371e-4d14-b459-ed107a51426a","T_DDGNO-1","WIND","Dudgeon Offshore Wind Ltd"
245,"7f1c3c29-2433-4199-98f7-ce15ffed2464","T_DDGNO-2","WIND","Dudgeon Offshore Wind Ltd"
244,"89db1a66-af24-44a5-82d2-89a6d5ef8a06","T_DDGNO-3","WIND","Dudgeon Offshore Wind Ltd"
243,"3c77b022-0812-4274-867f-7a69ff699ba8","T_DDGNO-4","WIND","Dudgeon Offshore Wind Ltd"
231,"b40c5ac0-b91b-4aac-a3fd-71a36788e992","T_DNLWW-1","WIND","SP Renewables (UK) Limited"
230,"7b5ee230-555c-4ec6-8ac6-c06161cf7ae0","T_DOREW-1","WIND","Dorenell Windfarm Limited"
229,"c22e5a7a-803d-43d0-8108-32428ba5b263","T_DOREW-2","WIND","Dorenell Windfarm Limited"
218,"ca39d0a9-ced9-4d1c-864f-b8f44ddbd7e4","T_DRSLW-1","WIND","SP Renewables (UK) Limited"
217,"01ab5e80-4ec1-4fd2-957f-ce803f068eb8","T_DUNGW-1","WIND","Dunmaglass Wind Farm Limited"
213,"97982b17-03f7-42c8-8f6c-7d7be58a1342","T_EAAO-1","WIND","East Anglia One Limited"
212,"e838be9f-a31d-40ad-8a8f-6ca742b2273d","T_EAAO-2","WIND","East Anglia One Limited"
210,"3785ac0e-30d7-4920-8a92-d05f80e02638","T_EDINW-1","WIND","Vattenfall Wind Power Ltd"
203,"0a54ca62-ae53-4d8b-b9ed-e5cf890cff9c","T_EWHLW-1","WIND","SP Renewables (UK) Limited"
202,"5aa75246-8cb8-49bd-9031-559e8d6a1624","T_FALGW-1","WIND","Fallago Rig Wind Farm Limited"
201,"689bc11a-bad2-41d3-a42b-d8d733f0a692","T_FARR-1","WIND","Smartestenergy Limited"
200,"b284cbc7-db08-4b58-8859-1993149723f5","T_FARR-2","WIND","Smartestenergy Limited"
189,"1bfddace-1498-4d19-b71c-49652d5fd39d","T_FSDLW-1","WIND","Freasdail Energy Limited"
188,"13bc5d2e-f4be-4c1d-80b0-36e2835540ea","T_GANW-11","WIND","Galloper Offshore WindFarm Ltd"
379,"407b429e-368f-478f-b238-e38fc083e064","T_GANW-13","WIND","Galloper Offshore WindFarm Ltd"
378,"571fd4a5-c0c6-414a-b50e-5b54103ef4d0","T_GANW-22","WIND","Galloper Offshore WindFarm Ltd"
377,"2d1f382c-fd10-4963-8418-3cd9f5c57299","T_GANW-24","WIND","Galloper Offshore WindFarm Ltd"
375,"bc1ae19e-0ac5-4566-b63e-ecddcb49ee32","T_GLNKW-1","WIND","EDF Energy Customers Ltd"
374,"3f104c15-cc50-4bc2-ad25-4e217667e208","T_GLWSW-1","WIND","GALAWHISTLE WIND FARM"
373,"db0e855b-0b40-4034-b82c-472fca31beba","T_GNAPW-1","WIND","SP Renewables (UK) Limited"
372,"c4e023c1-5b5d-4cf5-a799-e30022543cbb","T_GNFSW-1","WIND","Gunfleet Sands Limited"
370,"5ac10514-9f94-446f-9af8-c77c9050a53b","T_GORDW-1","WIND","SSE Generation Ltd"
369,"ca4940ce-faf1-4056-a54d-a1a62a7a41ee","T_GORDW-2","WIND","SSE Generation Ltd"
360,"42ef218a-2679-4689-aeee-9be81a50d5f5","T_GRGBW-1","WIND","Greater Gabbard Offshore Winds"
359,"fb7bf13c-b20a-4fb2-96ee-e725a60abe02","T_GRGBW-2","WIND","Greater Gabbard Offshore Winds"
358,"0bdf3ef5-3c02-4e9c-b533-220c58830e2a","T_GRGBW-3","WIND","Greater Gabbard Offshore Winds"
357,"440bab64-cd92-4000-93d4-7562ebfd9fdf","T_GRIFW-1","WIND","Griffin Wind Farm Ltd""id","uid","bm_unit_id","fuel_type","lead_party_name"
356,"8c0c2288-63ee-4c6c-96d9-706d359439e7","T_GRIFW-2","WIND","Griffin Wind Farm Ltd"
354,"138e5c49-00e1-44da-a715-9ab226c6dd99","T_GYMR-15","WIND","Gwynt y Mor Offshore Wind Farm"
353,"11b2aac4-7f2b-4579-b932-cface55eea09","T_GYMR-17","WIND","Gwynt y Mor Offshore Wind Farm"
352,"2e4c7137-5dc5-44a8-9845-d310a515f46f","T_GYMR-26","WIND","Gwynt y Mor Offshore Wind Farm"
351,"3c4ccece-ea69-404d-ab70-f001fd1c65c8","T_GYMR-28","WIND","Gwynt y Mor Offshore Wind Farm"
350,"a303a556-8934-4a35-83ae-35540c1cf8fd","T_HADHW-1","WIND","SSE Renewables Wind Farms"
340,"b1244f6e-8234-46da-99c5-69f5f3de45d7","T_HMGTO-1","WIND","RWE Renewables UK Humber Wind"
339,"d094e000-ac49-493a-b5d0-bc47135c7d28","T_HMGTO-2","WIND","RWE Renewables UK Humber Wind"
338,"aa54c0ca-807f-4efc-bdf1-8d2d15206ab0","T_HOWAO-1","WIND","Hornsea 1 Limited"
337,"c64eb512-d072-4693-a032-0e61952264db","T_HOWAO-2","WIND","Hornsea 1 Limited"
336,"2f9cda07-5ecc-44e9-9122-95f8fcb5b5e8","T_HOWAO-3","WIND","Hornsea 1 Limited"
335,"ed1fb456-f54b-4e70-934d-c69be4253ed8","T_HOWBO-1","WIND","Breesea Limited"
334,"84f289dd-cf0c-4f34-98c2-ac9fc8fb94e1","T_HOWBO-2","WIND","Sonningmay Wind Limited"
333,"25a4723c-c13d-4646-8423-b357f56e9d22","T_HOWBO-3","WIND","Soundmark Wind Limited"
